Hello World
initializing gdt
initialized gdt
initializing idt
IDT Entry 67, address_low = 0x1740, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 68, address_low = 0x1750, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 69, address_low = 0x1760, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 70, address_low = 0x1770, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 71, address_low = 0x1780, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 72, address_low = 0x1790, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 73, address_low = 0x17A0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 74, address_low = 0x17B0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 75, address_low = 0x17C0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 76, address_low = 0x17D0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 77, address_low = 0x17E0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 78, address_low = 0x17F0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 79, address_low = 0x1800, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 80, address_low = 0x1810, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 81, address_low = 0x1820, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 82, address_low = 0x1830, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 83, address_low = 0x1840, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 84, address_low = 0x1850, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 85, address_low = 0x1860, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 86, address_low = 0x1870, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 87, address_low = 0x1880, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 88, address_low = 0x1890, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 89, address_low = 0x18A0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 90, address_low = 0x18B0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 91, address_low = 0x18C0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 92, address_low = 0x18D0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 93, address_low = 0x18E0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 94, address_low = 0x18F0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 95, address_low = 0x1900, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 96, address_low = 0x1910, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 97, address_low = 0x1920, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 98, address_low = 0x1930, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 99, address_low = 0x1940, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 100, address_low = 0x1950, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 101, address_low = 0x1960, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 102, address_low = 0x1970, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 103, address_low = 0x1980, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 104, address_low = 0x1990, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 105, address_low = 0x19A0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 106, address_low = 0x19B0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 107, address_low = 0x19C0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 108, address_low = 0x19D0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 109, address_low = 0x19E0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 110, address_low = 0x19F0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 111, address_low = 0x1A00, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 112, address_low = 0x1A10, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 113, address_low = 0x1A20, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 114, address_low = 0x1A30, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 115, address_low = 0x1A40, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 116, address_low = 0x1A50, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 117, address_low = 0x1A60, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 118, address_low = 0x1A70, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 119, address_low = 0x1A80, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 120, address_low = 0x1A90, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 121, address_low = 0x1AA0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 122, address_low = 0x1AB0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 123, address_low = 0x1AC0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 124, address_low = 0x1AD0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 125, address_low = 0x1AE0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 126, address_low = 0x1AF0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 127, address_low = 0x1B00, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 128, address_low = 0x1B10, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 129, address_low = 0x1B20, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 130, address_low = 0x1B30, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 131, address_low = 0x1B40, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 132, address_low = 0x1B50, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 133, address_low = 0x1B60, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 134, address_low = 0x1B70, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 135, address_low = 0x1B80, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 136, address_low = 0x1B90, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 137, address_low = 0x1BA0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 138, address_low = 0x1BB0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 139, address_low = 0x1BC0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 140, address_low = 0x1BD0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 141, address_low = 0x1BE0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 142, address_low = 0x1BF0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 143, address_low = 0x1C00, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 144, address_low = 0x1C10, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 145, address_low = 0x1C20, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 146, address_low = 0x1C30, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 147, address_low = 0x1C40, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 148, address_low = 0x1C50, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 149, address_low = 0x1C60, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 150, address_low = 0x1C70, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 151, address_low = 0x1C80, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 152, address_low = 0x1C90, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 153, address_low = 0x1CA0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 154, address_low = 0x1CB0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 155, address_low = 0x1CC0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 156, address_low = 0x1CD0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 157, address_low = 0x1CE0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
